""," ","Unadjusted Analysis"," "," ","Adjusted Analysis"," "," "
"1","Outcome","Unadjusted Difference","Unadjusted P-value","Bonferroni P-value","Adjusted Difference","Adjusted P-value","Bonferroni P-value"
"2","Ln IL-1β (pg/ml)","-0.12","0.4","0.79","-0.14","0.3","0.6"
"3","Ln Il-6 (pg/ml)","-0.21","0.07","0.13","-0.22","0.06","0.13"
"4","Ln TNF-α (pg/ml)","0.06","0.39","0.78","0.04","0.55","1"
"5","Ln IL-12 (pg/ml)","-0.06","0.46","0.92","-0.08","0.29","0.57"
"6","Ln IFN-γ (pg/ml)","-0.1","0.21","0.43","-0.09","0.2","0.41"
"7","Ln IL-4 (pg/ml)","-0.16","0.05","0.1","-0.15","0.08","0.15"
"8","Ln IL-5 (pg/ml)","0.01","0.94","1","-0.02","0.82","1"
"9","Ln IL-13 (pg/ml)","-0.15","0.36","0.73","-0.13","0.34","0.67"
"10","Ln IL-17A (pg/ml)","-0.02","0.86","1","-0.02","0.82","1"
"11","Ln IL-21 (pg/ml)","-0.13","0.18","0.37","-0.1","0.29","0.59"
"12","Ln IL-10 (pg/ml)","0.07","0.39","0.78","0.06","0.38","0.76"
"13","Ln IL-2 (pg/ml)","-0.12","0.32","0.64","-0.11","0.39","0.79"
"14","Ln GMCSF (pg/ml)","0.08","0.47","0.94","0.06","0.55","1"
"15","Ln IGF-1 (μg/L)","-0.06","0.14","0.28","-0.01","0.87","1"
"16","Ln IL-1β/IL-10","-0.2","0.07","0.14","-0.19","0.1","0.19"
"17","Ln IL-6/IL-10","-0.27","0.01","0.02","-0.26","0.02","0.03"
"18","Ln TNF-α/IL-10","0","0.93","1","0","0.98","1"
"19","Ln IL-12/IL-10","-0.12","0.02","0.04","-0.09","0.09","0.18"
"20","Ln IFN-γ/IL-10","-0.16","0","0","-0.13","0.02","0.04"
"21","Ln IL-4/IL-10","-0.23","0","0","-0.19","0.01","0.01"
"22","Ln IL-5/IL-10","-0.05","0.46","0.91","-0.09","0.21","0.42"
"23","Ln IL-13/IL-10","-0.21","0.07","0.13","-0.19","0.07","0.13"
"24","Ln IL-17A/IL-10","-0.08","0.16","0.32","-0.04","0.47","0.93"
"25","Ln IL-21/IL-10","-0.19","0.09","0.19","-0.16","0.14","0.27"
"26","Ln IL-2/IL-10","-0.19","0.14","0.29","-0.15","0.23","0.45"
"27","Ln GM-CSF/IL-10","0.02","0.85","1","0.03","0.74","1"
"28","Ln IL-12/IL-4","0.1","0.09","0.18","0.1","0.07","0.14"
"29","Ln IFN-γ/IL-4","0.06","0.27","0.54","0.07","0.23","0.45"
"30","Ln IL-12/IL-5","-0.07","0.39","0.77","-0.03","0.74","1"
"31","Ln IFN-γ/IL-5","-0.11","0.17","0.34","-0.06","0.47","0.93"
"32","Ln IL-12/IL-13","0.08","0.4","0.81","0.07","0.43","0.86"
"33","Ln IFN-γ/IL-13","0.04","0.67","1","0.04","0.64","1"
"34","Ln IL-12/IL-17A","-0.05","0.36","0.73","-0.06","0.25","0.49"
"35","Ln IFN-γ/IL-17A","-0.09","0.11","0.22","-0.07","0.17","0.35"
"36","Ln IL-12/IL-21","0.05","0.67","1","0.03","0.76","1"
"37","Ln IFN-γ/IL-21","0.02","0.87","1","0.02","0.85","1"
"38","Ln Pro-inflammatory cytokines*/IL-10","0","0.93","1","0","0.98","1"
"39","Ln Th1**/IL-10","-0.16","0","0","-0.13","0.02","0.04"
"40","Ln Th2***/IL-10","-0.21","0.07","0.13","-0.19","0.07","0.13"
"41","Ln Th17****/IL-10","-0.19","0.09","0.19","-0.16","0.14","0.27"
"42","Ln Th1**/Th2***","0.04","0.67","1","0.04","0.64","1"
"43","Ln Th1**/Th17****","0.02","0.87","1","0.02","0.85","1"
