""," ","Unadjusted Analysis"," "," ","Adjusted Analysis"," "," "
"1","Outcome","Unadjusted Difference","Unadjusted P-value","Bonferroni P-value","Adjusted Difference","Adjusted P-value","Bonferroni P-value"
"2","Ln ΔIL-1β (pg/ml)","0.14","0.31","0.62","-0.02","0.89","1"
"3","Ln ΔIl-6 (pg/ml)","-0.08","0.68","1","-0.06","0.73","1"
"4","Ln ΔTNF-α (pg/ml)","0.39","0.03","0.06","0.19","0.46","0.91"
"5","Ln ΔIL-12 (pg/ml)","-0.02","0.88","1","0.09","0.52","1"
"6","Ln ΔIFN-γ (pg/ml)","0.02","0.91","1","-0.13","0.48","0.95"
"7","Ln ΔIL-4 (pg/ml)","0.1","0.54","1","-0.02","0.93","1"
"8","Ln ΔIL-5 (pg/ml)","0.31","0.1","0.2","0.26","0.25","0.51"
"9","Ln ΔIL-13 (pg/ml)","-0.17","0.43","0.87","-0.5","0.01","0.01"
"10","Ln ΔIL-17A (pg/ml)","0.2","0.3","0.6","0.11","0.53","1"
"11","Ln ΔIL-21 (pg/ml)","0.01","0.94","1","0.02","0.92","1"
"12","Ln ΔIL-10 (pg/ml)","0.07","0.7","1","0.1","0.61","1"
"13","Ln ΔIL-2 (pg/ml)","0.11","0.47","0.94","0.05","0.71","1"
"14","Ln ΔGMCSF (pg/ml)","0.12","0.46","0.92","-0.07","0.68","1"
"15","Ln ΔIGF-1 (μg/L)","-0.11","0.32","0.64","-0.05","0.61","1"
"16","Ln ΔIL-1β/IL-10","-0.14","0.26","0.52","-0.15","0.28","0.55"
"17","Ln ΔIL-6/IL-10","-0.27","0.03","0.05","-0.2","0.15","0.3"
"18","Ln ΔTNF-α/IL-10","0.17","0.07","0.14","0.1","0.28","0.57"
"19","Ln ΔIL-12/IL-10","0.11","0.29","0.59","0.12","0.22","0.45"
"20","Ln ΔIFN-γ/IL-10","0","0.98","1","-0.02","0.87","1"
"21","Ln ΔIL-4/IL-10","-0.18","0.09","0.18","-0.16","0.16","0.32"
"22","Ln ΔIL-5/IL-10","-0.07","0.5","1","-0.15","0.09","0.18"
"23","Ln ΔIL-13/IL-10","-0.25","0.09","0.17","-0.22","0.11","0.22"
"24","Ln ΔIL-17A/IL-10","0.16","0.11","0.23","0.16","0.14","0.29"
"25","Ln ΔIL-21/IL-10","-0.2","0.2","0.41","-0.08","0.6","1"
"26","Ln ΔIL-2/IL-10","-0.12","0.51","1","-0.1","0.58","1"
"27","Ln ΔGM-CSF/IL-10","0.25","0.02","0.04","0.08","0.44","0.88"
"28","Ln ΔIL-12/IL-4","0.26","0","0.01","0.29","0","0"
"29","Ln ΔIFN-γ/IL-4","0.17","0.04","0.07","0.16","0.05","0.09"
"30","Ln ΔIL-12/IL-5","0.15","0.14","0.29","0.22","0.02","0.04"
"31","Ln ΔIFN-γ/IL-5","0.06","0.51","1","0.1","0.28","0.56"
"32","Ln ΔIL-12/IL-13","0.35","0","0","0.35","0","0.01"
"33","Ln ΔIFN-γ/IL-13","0.24","0.02","0.05","0.19","0.05","0.1"
"34","Ln ΔIL-12/IL-17A","-0.08","0.32","0.63","-0.1","0.21","0.42"
"35","Ln ΔIFN-γ/IL-17A","-0.08","0.32","0.63","-0.1","0.21","0.42"
"36","Ln ΔIL-12/IL-21","-0.08","0.32","0.63","-0.1","0.21","0.42"
"37","Ln ΔIFN-γ/IL-21","-0.08","0.32","0.63","-0.1","0.21","0.42"
"38","Ln ΔPro-inflammatory cytokines*/IL-10","-49.35","0.07","0.13","-35.28","0.08","0.16"
"39","Ln ΔTh1**/IL-10","-29.38","0.11","0.23","-10.41","0.3","0.61"
"40","Ln ΔTh2***/IL-10","-24.35","0.48","0.96","-21.34","0.5","1"
"41","Ln ΔTh17****/IL-10","-23.25","0.23","0.45","-8.41","0.45","0.9"
"42","Ln ΔTh1**/Th2***","-1.01","0.55","1","-0.69","0.69","1"
"43","Ln ΔTh1**/Th17****","103.79","0.3","0.61","-1.9","0.96","1"
