"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1β/IL-10"," "," "," "," "," "," "," "," "
"2","Control","284","0.13","0.24","-2.5","0.9"," "," "," "
"3","Nutrition + WSH","308","0.14","0.37","-2.52","1.07","-0.02 (-0.23, 0.19)","-0.03 (-0.25, 0.18)","-0.04 (-0.26, 0.18)"
"4","Ln IL-6/IL-10"," "," "," "," "," "," "," "," "
"5","Control","284","0.39","1.16","-1.52","0.78"," "," "," "
"6","Nutrition + WSH","308","0.51","1.95","-1.47","0.94","0.05 (-0.12, 0.22)","0.04 (-0.13, 0.21)","0.01 (-0.16, 0.18)"
"7","Ln TNF-α/IL-10"," "," "," "," "," "," "," "," "
"8","Control","284","1.04","3.02","-0.41","0.69"," "," "," "
"9","Nutrition + WSH","310","0.77","1","-0.53","0.66","-0.12 (-0.23, -0.02)","-0.12 (-0.23, -0.01)","-0.11 (-0.22, 0)"
"10","Ln IL-12/IL-10"," "," "," "," "," "," "," "," "
"11","Control","284","0.38","0.67","-1.24","0.56"," "," "," "
"12","Nutrition + WSH","309","0.3","0.35","-1.44","0.7","-0.19 (-0.31, -0.08)","-0.2 (-0.32, -0.08)","-0.2 (-0.31, -0.08)"
"13","Ln IFN-γ/IL-10"," "," "," "," "," "," "," "," "
"14","Control","284","1.11","2.08","-0.19","0.57"," "," "," "
"15","Nutrition + WSH","310","0.96","1.76","-0.3","0.6","-0.11 (-0.22, 0)","-0.11 (-0.22, 0)","-0.08 (-0.19, 0.03)"
"16","Ln IL-4/IL-10"," "," "," "," "," "," "," "," "
"17","Control","284","8.02","21.37","1.64","0.69"," "," "," "
"18","Nutrition + WSH","309","7.19","12.75","1.63","0.69","0 (-0.14, 0.13)","-0.01 (-0.15, 0.13)","-0.01 (-0.14, 0.13)"
"19","Ln IL-5/IL-10"," "," "," "," "," "," "," "," "
"20","Control","284","0.28","0.72","-1.74","0.75"," "," "," "
"21","Nutrition + WSH","310","0.31","0.77","-1.67","0.77","0.07 (-0.05, 0.2)","0.06 (-0.07, 0.19)","0.06 (-0.06, 0.19)"
"22","Ln IL-13/IL-10"," "," "," "," "," "," "," "," "
"23","Control","284","1","2.36","-0.63","0.94"," "," "," "
"24","Nutrition + WSH","308","0.83","0.89","-0.61","1","0.02 (-0.17, 0.22)","0.02 (-0.18, 0.21)","0.04 (-0.16, 0.24)"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," "," "," "
"26","Control","284","0.78","1.95","-0.62","0.63"," "," "," "
"27","Nutrition + WSH","310","0.59","1.01","-0.78","0.67","-0.16 (-0.29, -0.03)","-0.18 (-0.31, -0.04)","-0.2 (-0.34, -0.06)"
"28","Ln IL-21/IL-10"," "," "," "," "," "," "," "," "
"29","Control","281","0.3","0.68","-1.86","1.05"," "," "," "
"30","Nutrition + WSH","304","0.27","0.61","-1.87","1.01","-0.01 (-0.21, 0.19)","-0.02 (-0.22, 0.18)","-0.08 (-0.28, 0.13)"
"31","Ln IL-2/IL-10"," "," "," "," "," "," "," "," "
"32","Control","282","0.18","0.67","-2.65","1.19"," "," "," "
"33","Nutrition + WSH","303","0.22","1.33","-2.65","1.25","0 (-0.26, 0.25)","0.01 (-0.24, 0.27)","-0.12 (-0.39, 0.15)"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," "," "," "
"35","Control","284","0.13","0.24","1.89","0.99"," "," "," "
"36","Nutrition + WSH","310","0.14","0.37","1.73","0.96","-0.16 (-0.32, 0.01)","-0.1 (-0.29, 0.09)","-0.13 (-0.3, 0.05)"
"37","Ln IL-12/IL-4"," "," "," "," "," "," "," "," "
"38","Control","285","0.06","0.02","-2.89","0.5"," "," "," "
"39","Nutrition + WSH","309","0.05","0.02","-3.08","0.66","-0.18 (-0.31, -0.06)","-0.18 (-0.31, -0.06)","-0.18 (-0.29, -0.07)"
"40","Ln IFN-γ/IL-4"," "," "," "," "," "," "," "," "
"41","Control","285","0.18","0.07","-1.82","0.45"," "," "," "
"42","Nutrition + WSH","310","0.17","0.09","-1.93","0.55","-0.11 (-0.2, -0.01)","-0.11 (-0.2, -0.01)","-0.08 (-0.18, 0.02)"
"43","Ln IL-12/IL-5"," "," "," "," "," "," "," "," "
"44","Control","285","2.15","3.54","0.49","0.65"," "," "," "
"45","Nutrition + WSH","310","1.52","0.79","0.22","0.77","-0.27 (-0.41, -0.13)","-0.26 (-0.41, -0.11)","-0.23 (-0.38, -0.09)"
"46","Ln IFN-γ/IL-5"," "," "," "," "," "," "," "," "
"47","Control","285","6.17","8.64","1.56","0.62"," "," "," "
"48","Nutrition + WSH","311","4.92","5.61","1.37","0.68","-0.19 (-0.32, -0.06)","-0.17 (-0.32, -0.02)","-0.15 (-0.29, 0)"
"49","Ln IL-12/IL-13"," "," "," "," "," "," "," "," "
"50","Control","285","0.72","0.64","-0.63","0.82"," "," "," "
"51","Nutrition + WSH","307","0.78","1.9","-0.85","0.95","-0.22 (-0.39, -0.05)","-0.22 (-0.39, -0.05)","-0.23 (-0.4, -0.06)"
"52","Ln IFN-γ/IL-13"," "," "," "," "," "," "," "," "
"53","Control","285","2.12","2.53","0.44","0.77"," "," "," "
"54","Nutrition + WSH","308","2.42","5.22","0.3","0.92","-0.14 (-0.3, 0.02)","-0.14 (-0.3, 0.01)","-0.14 (-0.3, 0.02)"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," "," "," "
"56","Control","285","0.57","0.2","-0.64","0.45"," "," "," "
"57","Nutrition + WSH","310","0.61","0.51","-0.66","0.6","-0.02 (-0.12, 0.08)","-0.01 (-0.12, 0.09)","0.02 (-0.09, 0.12)"
"58","Ln IFN-γ/IL-17A"," "," "," "," "," "," "," "," "
"59","Control","285","1.71","0.86","0.43","0.48"," "," "," "
"60","Nutrition + WSH","311","2.09","4.94","0.49","0.52","0.06 (-0.07, 0.18)","0.06 (-0.06, 0.19)","0.08 (-0.04, 0.19)"
"61","Ln IL-12/IL-21"," "," "," "," "," "," "," "," "
"62","Control","282","3.16","5.65","0.6","0.96"," "," "," "
"63","Nutrition + WSH","304","2.72","5.5","0.42","1.08","-0.19 (-0.4, 0.03)","-0.19 (-0.41, 0.03)","-0.11 (-0.36, 0.13)"
"64","Ln IFN-γ/IL-21"," "," "," "," "," "," "," "," "
"65","Control","282","9.13","16.22","1.67","0.91"," "," "," "
