"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1β/IL-10"," "," "," "," "," "," "," "
"2","Control","330","-2.21","-2.21","0.93"," "," "," "
"3","Nutrition + WSH","343","-2.28","-2.28","1.01","-0.07 (-0.28, 0.13)","-0.05 (-0.26, 0.15)","-0.07 (-0.28, 0.14)"
"4","Ln IL-6/IL-10"," "," "," "," "," "," "," "
"5","Control","330","-1.33","-1.33","0.97"," "," "," "
"6","Nutrition + WSH","344","-1.48","-1.48","0.92","-0.15 (-0.36, 0.07)","-0.13 (-0.34, 0.09)","-0.11 (-0.31, 0.09)"
"7","Ln TNF-α/IL-10"," "," "," "," "," "," "," "
"8","Control","331","-0.49","-0.49","0.69"," "," "," "
"9","Nutrition + WSH","344","-0.58","-0.58","0.75","-0.09 (-0.2, 0.02)","-0.07 (-0.19, 0.04)","-0.07 (-0.18, 0.04)"
"10","Ln IL-12/IL-10"," "," "," "," "," "," "," "
"11","Control","331","-1.17","-1.17","0.67"," "," "," "
"12","Nutrition + WSH","344","-1.22","-1.22","0.58","-0.05 (-0.17, 0.06)","-0.04 (-0.16, 0.08)","-0.02 (-0.14, 0.09)"
"13","Ln IFN-γ/IL-10"," "," "," "," "," "," "," "
"14","Control","331","-0.07","-0.07","0.6"," "," "," "
"15","Nutrition + WSH","344","-0.13","-0.13","0.6","-0.07 (-0.18, 0.05)","-0.05 (-0.16, 0.07)","-0.04 (-0.15, 0.07)"
"16","Ln IL-4/IL-10"," "," "," "," "," "," "," "
"17","Control","331","1.82","1.82","0.69"," "," "," "
"18","Nutrition + WSH","344","1.7","1.7","0.69","-0.12 (-0.26, 0.02)","-0.1 (-0.24, 0.04)","-0.08 (-0.22, 0.06)"
"19","Ln IL-5/IL-10"," "," "," "," "," "," "," "
"20","Control","331","-1.6","-1.6","0.78"," "," "," "
"21","Nutrition + WSH","344","-1.72","-1.72","0.84","-0.12 (-0.26, 0.02)","-0.11 (-0.25, 0.03)","-0.11 (-0.25, 0.02)"
"22","Ln IL-13/IL-10"," "," "," "," "," "," "," "
"23","Control","331","-0.56","-0.56","1.02"," "," "," "
"24","Nutrition + WSH","342","-0.55","-0.55","1","0 (-0.2, 0.21)","0 (-0.2, 0.21)","-0.01 (-0.19, 0.17)"
