"","Outcome","Unadjusted Analysis"," "," ","Adjusted Analysis"," "," "
"1","Outcome","Unadjusted Difference","Unadjusted P-value","Bonferroni P-value","Adjusted Difference","Adjusted P-value","Bonferroni P-value"
"2","Ln IL-1ß (pg/ml)","0.07","0.62","Bonferroni P-value","0.04","0.77","Bonferroni P-value"
"3","Ln Il-6 (pg/ml)","0.15","0.07","Bonferroni P-value","0.12","0.13","Bonferroni P-value"
"4","Ln TNF-a (pg/ml)","-0.03","0.69","Bonferroni P-value","0.01","0.91","Bonferroni P-value"
"5","Ln CRP (mg/L)","0.37","0.02","Bonferroni P-value","0.26","0.14","Bonferroni P-value"
"6","Ln IL-12 (pg/ml)","-0.09","0.21","Bonferroni P-value","-0.06","0.47","Bonferroni P-value"
"7","Ln IFN-<U+03B3> (pg/ml)","-0.02","0.78","Bonferroni P-value","0.03","0.73","Bonferroni P-value"
"8","Ln IL-4 (pg/ml)","0.09","0.27","Bonferroni P-value","0.12","0.14","Bonferroni P-value"
"9","Ln IL-5 (pg/ml)","0.17","0.01","Bonferroni P-value","0.21","0","Bonferroni P-value"
"10","Ln IL-13 (pg/ml)","0.13","0.33","Bonferroni P-value","0.14","0.3","Bonferroni P-value"
"11","Ln IL-17A (pg/ml)","-0.07","0.37","Bonferroni P-value","-0.07","0.41","Bonferroni P-value"
"12","Ln IL-21 (pg/ml)","0.09","0.41","Bonferroni P-value","0.07","0.49","Bonferroni P-value"
"13","Ln IL-10 (pg/ml)","0.1","0.21","Bonferroni P-value","0.12","0.13","Bonferroni P-value"
"14","Ln IL-2 (pg/ml)","0.08","0.57","Bonferroni P-value","-0.03","0.87","Bonferroni P-value"
"15","Ln GMCSF (pg/ml)","-0.06","0.48","Bonferroni P-value","0.02","0.81","Bonferroni P-value"
"16","Ln AGP (g/L)","0.04","0.47","Bonferroni P-value","0.02","0.59","Bonferroni P-value"
"17","Ln IGF-1 (µg/L)","-0.11","0.06","Bonferroni P-value","-0.04","0.45","Bonferroni P-value"
"18","Ln IL-1ß/IL-10","-0.02","0.85","Bonferroni P-value","-0.04","0.71","Bonferroni P-value"
"19","Ln IL-6/IL-10","0.05","0.57","Bonferroni P-value","0.01","0.9","Bonferroni P-value"
"20","Ln TNF-a/IL-10","-0.12","0.02","Bonferroni P-value","-0.11","0.04","Bonferroni P-value"
"21","Ln IL-12/IL-10","-0.19","0","Bonferroni P-value","-0.2","0","Bonferroni P-value"
"22","Ln IFN-<U+03B3>/IL-10","-0.11","0.05","Bonferroni P-value","-0.08","0.13","Bonferroni P-value"
"23","Ln IL-4/IL-10","0","0.98","Bonferroni P-value","-0.01","0.92","Bonferroni P-value"
"24","Ln IL-5/IL-10","0.07","0.26","Bonferroni P-value","0.06","0.31","Bonferroni P-value"
"25","Ln IL-13/IL-10","0.02","0.81","Bonferroni P-value","0.04","0.72","Bonferroni P-value"
"26","Ln IL-17A/IL-10","-0.16","0.02","Bonferroni P-value","-0.2","0.01","Bonferroni P-value"
"27","Ln IL-21/IL-10","-0.01","0.91","Bonferroni P-value","-0.08","0.47","Bonferroni P-value"
"28","Ln IL-2/IL-10","0","0.99","Bonferroni P-value","-0.12","0.4","Bonferroni P-value"
"29","Ln GM-CSF/IL-10","-0.16","0.07","Bonferroni P-value","-0.13","0.15","Bonferroni P-value"
"30","Ln IL-12/IL-4","-0.18","0","Bonferroni P-value","-0.18","0","Bonferroni P-value"
"31","Ln IFN-<U+03B3>/IL-4","-0.11","0.03","Bonferroni P-value","-0.08","0.13","Bonferroni P-value"
"32","Ln IL-12/IL-5","-0.27","0","Bonferroni P-value","-0.23","0","Bonferroni P-value"
"33","Ln IFN-<U+03B3>/IL-5","-0.19","0","Bonferroni P-value","-0.15","0.04","Bonferroni P-value"
"34","Ln IL-12/IL-13","-0.22","0.01","Bonferroni P-value","-0.23","0.01","Bonferroni P-value"
"35","Ln IFN-<U+03B3>/IL-13","-0.14","0.08","Bonferroni P-value","-0.14","0.09","Bonferroni P-value"
"36","Ln IL-12/IL-17A","-0.02","0.67","Bonferroni P-value","0.02","0.76","Bonferroni P-value"
"37","Ln IFN-<U+03B3>/IL-17A","0.06","0.37","Bonferroni P-value","0.08","0.19","Bonferroni P-value"
"38","Ln IL-12/IL-21","-0.19","0.09","Bonferroni P-value","-0.11","0.37","Bonferroni P-value"
"39","Ln IFN-<U+03B3>/IL-21","-0.1","0.33","Bonferroni P-value","-0.03","0.8","Bonferroni P-value"
"40","Ln Pro-inflammatory cytokines*/IL-10","10.38","0.35","Bonferroni P-value","12.39","0.28","Bonferroni P-value"
"41","Ln Th1**/IL-10","0.73","0.77","Bonferroni P-value","0.79","0.77","Bonferroni P-value"
"42","Ln Th2***/IL-10","-1.15","0.85","Bonferroni P-value","-4.08","0.43","Bonferroni P-value"
"43","Ln Th17****/IL-10","3.56","0.56","Bonferroni P-value","0.57","0.89","Bonferroni P-value"
"44","Ln Th1**/Th2***","1.27","0.03","Bonferroni P-value","1.25","0.04","Bonferroni P-value"
"45","Ln Th1**/Th17****","-75.08","0.32","Bonferroni P-value","-20.22","0.52","Bonferroni P-value"
